kind,path,sha256,task_id,condition,source_loading_seconds,receiver_loading_seconds,mapper_initialization_seconds,checkpoint_load_seconds,started_epoch,completed_epoch
mapper_checkpoint,primary/tasks/atcoder__abc368_c/mapper_loads/w0ycaqip586bjh_generation_0_1789824951358354911_FIXED_H.json,a923af00a1e459f57c88a93b53943b79da8cd55f4209f6908a6b71ba0928d61b,atcoder/abc368_c,FIXED_H,,,,0.41355706565082073,,
mapper_checkpoint,primary/tasks/atcoder__abc368_c/mapper_loads/w0ycaqip586bjh_generation_0_1789824951358354911_FIXED_M.json,f1d86deb9b373c92a093845aa1d472c1437997869712ff5a3ef94cbf8a8f305f,atcoder/abc368_c,FIXED_M,,,,0.4183253338560462,,
mapper_checkpoint,primary/tasks/atcoder__abc368_c/mapper_loads/w0ycaqip586bjh_generation_0_1789824951358354911_ROTATING_H.json,88d7e96c3648a8693d1a78f0dd0a77def364601626ad85bdc7a74c92071ec10c,atcoder/abc368_c,ROTATING_H,,,,0.40990482782945037,,
mapper_checkpoint,primary/tasks/atcoder__abc368_c/mapper_loads/w0ycaqip586bjh_generation_0_1789824951358354911_ROTATING_M.json,7c7ea1cea3052fb0d5a860c10d91316a8f200261285420f8477a78c634c0ae24,atcoder/abc368_c,ROTATING_M,,,,0.41434123180806637,,
mapper_checkpoint,primary/tasks/atcoder__abc368_d/mapper_loads/9hlpwazgwe1flj_generation_1_1789832656469872527_FIXED_H.json,fbe54f09699e90b11bb522cd2447c726d3d577d7d29ef54a8b3b149fbb6ff9ac,atcoder/abc368_d,FIXED_H,,,,0.5275989528745413,,
mapper_checkpoint,primary/tasks/atcoder__abc368_d/mapper_loads/9hlpwazgwe1flj_generation_1_1789832656469872527_FIXED_M.json,ca7e7dd6f62ea70af18fd70b532a0ef514ef188ca949fc620ec997115b2c0d44,atcoder/abc368_d,FIXED_M,,,,0.5348721260670573,,
mapper_checkpoint,primary/tasks/atcoder__abc368_d/mapper_loads/9hlpwazgwe1flj_generation_1_1789832656469872527_ROTATING_H.json,7b42dc86204c3b0ca730da9f0acf9d547ce5952bc56350f524a265226c2d7794,atcoder/abc368_d,ROTATING_H,,,,0.527919836807996,,
mapper_checkpoint,primary/tasks/atcoder__abc368_d/mapper_loads/9hlpwazgwe1flj_generation_1_1789832656469872527_ROTATING_M.json,8b41272b64b42e5c74fc6d4baf7525abd71531bc41a5ff1795bbc6b4ef7b15c0,atcoder/abc368_d,ROTATING_M,,,,0.5239417271222919,,
mapper_checkpoint,primary/tasks/atcoder__abc368_e/mapper_loads/oianuofedm84rt_generation_2_1789824916910890488_FIXED_H.json,93d775314403331231bb0f09de91f7f874f9ccfd80eb69c5df8a8c04dff75c21,atcoder/abc368_e,FIXED_H,,,,0.5124784628860652,,
mapper_checkpoint,primary/tasks/atcoder__abc368_e/mapper_loads/oianuofedm84rt_generation_2_1789824916910890488_FIXED_M.json,9fefe5577743e491103643c3ab64a0b5f16829c5d316dae2608f0e2dfe6231b3,atcoder/abc368_e,FIXED_M,,,,0.5222467728890479,,
mapper_checkpoint,primary/tasks/atcoder__abc368_e/mapper_loads/oianuofedm84rt_generation_2_1789824916910890488_ROTATING_H.json,f15665ec3ff8d0695ac20227cfbd826ad2cc7940888a3cec4878bc44c234abfb,atcoder/abc368_e,ROTATING_H,,,,0.5055691311135888,,
mapper_checkpoint,primary/tasks/atcoder__abc368_e/mapper_loads/oianuofedm84rt_generation_2_1789824916910890488_ROTATING_M.json,41f199079648e532916996312e9b372e7829cc9ef7d3166c2cc06db4e7c541ae,atcoder/abc368_e,ROTATING_M,,,,0.5231378821190447,,
mapper_checkpoint,primary/tasks/atcoder__abc368_f/mapper_loads/oianuofedm84rt_generation_2_1789824916910890488_FIXED_H.json,6cc9a1797fb97c9ecc05c6486a59f255798a67d6a9e15bdd178058c92ee0876a,atcoder/abc368_f,FIXED_H,,,,0.48748120409436524,,
mapper_checkpoint,primary/tasks/atcoder__abc368_f/mapper_loads/oianuofedm84rt_generation_2_1789824916910890488_FIXED_M.json,9c54f9665033c9439446dde30c913a9459edc5fcafe83876c78a1ea5e5e54771,atcoder/abc368_f,FIXED_M,,,,0.480400059139356,,
mapper_checkpoint,primary/tasks/atcoder__abc368_f/mapper_loads/oianuofedm84rt_generation_2_1789824916910890488_ROTATING_H.json,3519a6ec4bee081e4a197e556d120a80ce7082faa419ac0bb4f6cdeeac55e0a9,atcoder/abc368_f,ROTATING_H,,,,0.48510217294096947,,
