task_id,seed_index,answer_seed,perfect_seconds,removed_prefill_seconds,perfect_passed,A_minus_perfect_seconds,B_minus_perfect_seconds,D_minus_perfect_seconds,ROTATING_H_minus_perfect_seconds
atcoder/abc365_a,2,5449721495688833674,119.23950149910524,0.2345501738600433,True,2.0843798858113587,-61.85195179050788,0.2345501738600433,0.8723136647604406
atcoder/abc379_d,0,4216276590554047977,598.5367767210118,0.8734920187853277,True,21.237974380142987,425.8949325880967,0.8734920187853277,3.6742953532375395
atcoder/abc379_d,1,8719911657279271933,599.4149590376765,0.8734920187853277,True,16.279855257365853,425.7391579905525,0.8734920187853277,3.883516712114215
atcoder/abc379_d,2,3001171665833042322,601.1779796564952,0.8734920187853277,True,17.48230841802433,421.6555691258982,0.8734920187853277,-0.5244098538532853
atcoder/abc374_c,0,4303925584281800885,646.4009557389654,0.9303145622834563,True,11.189597410149872,-15.581934138666838,0.9303145622834563,-0.25303583685308695
atcoder/abc374_c,1,368215483382528070,641.8792274254374,0.9303145622834563,True,22.200979218352586,-12.748696815688163,0.9303145622834563,3.2079474898055196
atcoder/abc374_c,2,1313553660448605385,644.9386084084399,0.9303145622834563,True,16.898567168973386,-15.383831210900098,0.9303145622834563,-3.2797048343345523
atcoder/abc399_e,0,6367872658781480572,1596.0994256860577,3.4844132349826396,False,19.00140488287434,-758.5048054945655,3.4844132349826396,0.7994233071804047
atcoder/abc399_e,1,6434689519045798661,1596.388237865176,3.4844132349826396,False,17.19393628463149,-759.4098250004463,3.4844132349826396,145.643162347842
atcoder/abc399_e,2,8450207711231961127,1597.6728422753513,3.4844132349826396,False,14.598128979559988,-762.1473747976124,3.4844132349826396,70.28288201475516
leetcode/3777,0,3088442405610194879,1385.5554196573794,2.5325173940509558,False,27.043496211990714,-735.3012043610215,2.5325173940509558,-6.075163344852626
leetcode/3777,1,809166969972768261,1382.8765327841975,2.5325173940509558,False,28.61768342135474,-732.9749647327699,2.5325173940509558,2.046631337609142
leetcode/3777,2,4407517895965036895,1384.2782094264403,2.5325173940509558,False,24.146274285856634,-733.1477369219065,2.5325173940509558,-7.053907625377178
leetcode/3605,0,8370111154537588636,554.8366238297895,0.7643255642615259,True,12.601945291738957,493.9291606172919,0.7643255642615259,-0.21189466770738363
leetcode/3605,1,7364966311884159672,556.7059253915213,0.7643255642615259,True,13.369546083267778,491.82401021337137,0.7643255642615259,0.17634060932323337
leetcode/3605,2,3866963257392639734,553.1961303781718,0.7643255642615259,True,17.499514747411013,493.58016023691744,0.7643255642615259,4.236752521712333
atcoder/arc192_b,0,271741859637266739,1288.7598875267431,2.3388128550723195,False,8.957038443535566,-807.6843265956268,2.3388128550723195,0.7258717138320208
atcoder/arc192_b,1,320500646826945249,1288.2145775705576,2.3388128550723195,False,27.864926516544074,-806.2432283516973,2.3388128550723195,3.3993053738959134
atcoder/arc192_b,2,629249979114551126,1289.5837270026095,2.3388128550723195,False,16.937837057746947,-805.7209582016803,2.3388128550723195,2.132348900195211
atcoder/abc398_b,0,3292846130148227291,269.5882505807094,0.40461302921175957,True,9.896390301641077,105.11268231039867,0.40461302921175957,2.095566258765757
atcoder/abc398_b,1,9054420676347653606,269.32192294392735,0.40461302921175957,True,9.520291773602366,107.13528595399112,0.40461302921175957,2.3213738868944347
atcoder/abc398_b,2,6238670866567850480,269.41083542862907,0.40461302921175957,True,10.888697367161512,106.49972494645044,0.40461302921175957,1.2166853328235447
atcoder/abc391_b,0,9097122991407880485,366.15637600794435,0.5180379329249263,True,14.632862342055887,-131.47089095693082,0.5180379329249263,0.0926751159131527
