task_id,condition,passed,draws,missing,pass_rate,quality_lower_bound,quality_upper_bound,mean_stage_seconds
leetcode/3453,H75,3,3,0,1.0,1.0,1.0,726.5494791234183
leetcode/3413,H75,3,3,0,1.0,1.0,1.0,936.6293766395538
atcoder/abc357_c,H75,3,3,0,1.0,1.0,1.0,683.7218247082006
leetcode/3462,H75,3,3,0,1.0,1.0,1.0,1249.8939325706644
atcoder/abc364_e,H75,0,3,3,,0.0,1.0,3034.746284458728
atcoder/abc351_d,H75,3,3,0,1.0,1.0,1.0,3761.499185332233
atcoder/abc352_e,H75,3,3,0,1.0,1.0,1.0,975.1214973055176
atcoder/abc359_e,H75,0,3,0,0.0,0.0,0.0,3853.4966290693264
atcoder/abc362_e,H75,3,3,0,1.0,1.0,1.0,2137.6674419579017
atcoder/abc364_d,H75,3,3,0,1.0,1.0,1.0,976.9686900414526
atcoder/abc348_e,H75,3,3,0,1.0,1.0,1.0,1256.150109541001
atcoder/abc351_f,H75,3,3,0,1.0,1.0,1.0,1471.6341986523087
atcoder/abc362_d,H75,3,3,0,1.0,1.0,1.0,1065.4177079032136
leetcode/3478,H75,0,3,0,0.0,0.0,0.0,3364.1948926950768
atcoder/abc353_e,H75,3,3,0,1.0,1.0,1.0,1360.048488082403
leetcode/3482,H75,0,3,0,0.0,0.0,0.0,2182.9005484586814
atcoder/abc363_e,H75,3,3,0,1.0,1.0,1.0,2100.601455737565
atcoder/abc349_d,H75,3,3,0,1.0,1.0,1.0,1313.3378437776119
leetcode/3454,H75,3,3,0,1.0,1.0,1.0,3363.1111196669713
atcoder/abc358_e,H75,3,3,0,1.0,1.0,1.0,1608.3012046096458
leetcode/3466,H75,3,3,0,1.0,1.0,1.0,1402.6194297358743
atcoder/abc359_d,H75,3,3,0,1.0,1.0,1.0,1507.2180764572502
atcoder/abc356_a,FULL_TEXT,3,3,0,1.0,1.0,1.0,380.6693312082013
atcoder/abc358_b,FULL_TEXT,3,3,0,1.0,1.0,1.0,296.6818589453857
leetcode/3511,FULL_TEXT,3,3,0,1.0,1.0,1.0,491.81079362455057
atcoder/abc359_a,FULL_TEXT,3,3,0,1.0,1.0,1.0,167.8180191104184
leetcode/3412,FULL_TEXT,3,3,0,1.0,1.0,1.0,205.39701543047946
atcoder/abc349_a,FULL_TEXT,3,3,0,1.0,1.0,1.0,141.33049593118872
leetcode/3428,FULL_TEXT,3,3,0,1.0,1.0,1.0,317.506896472439
leetcode/3450,FULL_TEXT,3,3,0,1.0,1.0,1.0,589.7534476950337
leetcode/3379,FULL_TEXT,3,3,0,1.0,1.0,1.0,186.79021591726146
leetcode/3484,FULL_TEXT,3,3,0,1.0,1.0,1.0,1098.4265057764326
atcoder/abc362_c,FULL_TEXT,0,3,0,0.0,0.0,0.0,872.9696708896081
leetcode/3455,FULL_TEXT,3,3,0,1.0,1.0,1.0,1727.0288245424163
leetcode/3464,FULL_TEXT,3,3,0,1.0,1.0,1.0,2897.713158346383
atcoder/abc357_d,FULL_TEXT,3,3,0,1.0,1.0,1.0,824.3998847226612
atcoder/abc360_c,FULL_TEXT,3,3,0,1.0,1.0,1.0,1585.108455945175
leetcode/3430,FULL_TEXT,3,3,0,1.0,1.0,1.0,685.3714418611102
leetcode/3384,FULL_TEXT,3,3,0,1.0,1.0,1.0,352.3954713612523
leetcode/3461,FULL_TEXT,3,3,0,1.0,1.0,1.0,505.34478830575245
leetcode/3453,FULL_TEXT,3,3,0,1.0,1.0,1.0,853.019286930367
leetcode/3413,FULL_TEXT,3,3,0,1.0,1.0,1.0,1155.668748263289
atcoder/abc357_c,FULL_TEXT,3,3,0,1.0,1.0,1.0,702.9382680263952
leetcode/3462,FULL_TEXT,3,3,0,1.0,1.0,1.0,1492.9207208057244
atcoder/abc364_e,FULL_TEXT,0,3,3,,0.0,1.0,3517.9221392211816
atcoder/abc351_d,FULL_TEXT,3,3,0,1.0,1.0,1.0,4735.193980180328
atcoder/abc352_e,FULL_TEXT,3,3,0,1.0,1.0,1.0,1193.8473065686412
atcoder/abc359_e,FULL_TEXT,0,3,0,0.0,0.0,0.0,4712.002673554195
atcoder/abc362_e,FULL_TEXT,3,3,0,1.0,1.0,1.0,2687.85559984737
atcoder/abc364_d,FULL_TEXT,3,3,0,1.0,1.0,1.0,1241.88958063743
atcoder/abc348_e,FULL_TEXT,3,3,0,1.0,1.0,1.0,1432.2342874026315
atcoder/abc351_f,FULL_TEXT,3,3,0,1.0,1.0,1.0,1858.1084479302906
atcoder/abc362_d,FULL_TEXT,3,3,0,1.0,1.0,1.0,1266.6751453736408
leetcode/3478,FULL_TEXT,0,3,0,0.0,0.0,0.0,4435.871708985865
atcoder/abc353_e,FULL_TEXT,3,3,0,1.0,1.0,1.0,1598.1821803883843
leetcode/3482,FULL_TEXT,1,3,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,2548.6651201663576
atcoder/abc363_e,FULL_TEXT,3,3,0,1.0,1.0,1.0,2404.8738024872728
atcoder/abc349_d,FULL_TEXT,3,3,0,1.0,1.0,1.0,1540.8874514840427
leetcode/3454,FULL_TEXT,3,3,0,1.0,1.0,1.0,4334.987517596455
atcoder/abc358_e,FULL_TEXT,3,3,0,1.0,1.0,1.0,1737.6117388196872
leetcode/3466,FULL_TEXT,3,3,0,1.0,1.0,1.0,1745.6875795428641
atcoder/abc359_d,FULL_TEXT,3,3,0,1.0,1.0,1.0,1715.9583787627635
atcoder/abc356_a,LARGE_ONLY,3,3,0,1.0,1.0,1.0,371.0415556243582
atcoder/abc358_b,LARGE_ONLY,3,3,0,1.0,1.0,1.0,324.11511658339685
leetcode/3511,LARGE_ONLY,3,3,0,1.0,1.0,1.0,538.2308165275996
atcoder/abc359_a,LARGE_ONLY,3,3,0,1.0,1.0,1.0,171.04232115327613
leetcode/3412,LARGE_ONLY,3,3,0,1.0,1.0,1.0,249.0153484030549
atcoder/abc349_a,LARGE_ONLY,3,3,0,1.0,1.0,1.0,142.40473484732988
leetcode/3428,LARGE_ONLY,3,3,0,1.0,1.0,1.0,357.42259547131835
leetcode/3450,LARGE_ONLY,3,3,0,1.0,1.0,1.0,631.3914009019887
leetcode/3379,LARGE_ONLY,3,3,0,1.0,1.0,1.0,223.87448905629572
leetcode/3484,LARGE_ONLY,3,3,0,1.0,1.0,1.0,1146.420560083391
atcoder/abc362_c,LARGE_ONLY,0,3,0,0.0,0.0,0.0,935.5575028206222
leetcode/3455,LARGE_ONLY,3,3,0,1.0,1.0,1.0,1767.7472167229473
leetcode/3464,LARGE_ONLY,3,3,0,1.0,1.0,1.0,2969.1769279302484
atcoder/abc357_d,LARGE_ONLY,3,3,0,1.0,1.0,1.0,884.686821291359
atcoder/abc360_c,LARGE_ONLY,3,3,0,1.0,1.0,1.0,1635.5660563610145
leetcode/3430,LARGE_ONLY,3,3,0,1.0,1.0,1.0,735.3093739726659
leetcode/3384,LARGE_ONLY,3,3,0,1.0,1.0,1.0,398.1414711949765
leetcode/3461,LARGE_ONLY,3,3,0,1.0,1.0,1.0,566.2526423350015
leetcode/3453,LARGE_ONLY,3,3,0,1.0,1.0,1.0,905.5037101812777
leetcode/3413,LARGE_ONLY,3,3,0,1.0,1.0,1.0,1208.5152517496608
atcoder/abc357_c,LARGE_ONLY,3,3,0,1.0,1.0,1.0,714.3540488463865
leetcode/3462,LARGE_ONLY,3,3,0,1.0,1.0,1.0,1527.531646571025
atcoder/abc364_e,LARGE_ONLY,0,3,2,,0.0,0.6666666666666666,3599.073782651627
atcoder/abc351_d,LARGE_ONLY,3,3,0,1.0,1.0,1.0,4808.566446097626
atcoder/abc352_e,LARGE_ONLY,3,3,0,1.0,1.0,1.0,1288.7315847926463
atcoder/abc359_e,LARGE_ONLY,0,3,0,0.0,0.0,0.0,4734.404651013941
atcoder/abc362_e,LARGE_ONLY,3,3,0,1.0,1.0,1.0,2767.2403269869974
atcoder/abc364_d,LARGE_ONLY,3,3,0,1.0,1.0,1.0,1308.4293926372968
atcoder/abc348_e,LARGE_ONLY,3,3,0,1.0,1.0,1.0,1542.7225230976862
